	faith_pd
K058683-R	18.86858247257053
K058684-R	7.73972875182773
K058685-R	9.93510353784311
K058686-R	6.545631409507129
K058687-R	9.01876703482397
K058688-R	8.478069164296578
K058689-R	11.8844185704037
K058690-R	5.311669785602462
K058691-R	5.351485518822672
K058692-R	8.880272688639462
K058693-R	8.986190683105406
K058695-R	8.144320163390278
K058696-R	5.22924850551926
K058697-R	6.299760077631333
K058698-R	7.184796633384282
K058699-R	6.88662829685576
K058701-R	6.894299341330152
K058702-R	5.768425826256582
K058703-R	8.686439020423917
K058704-R	10.59162052408387
K058705-R	8.230745450808477
K058706-R	19.6734054625214
K058707-R	5.04837253096699
K058708-R	7.492856143862756
K058709-R	7.589153895404198
K058710-R	7.228182249963309
K058711-R	10.29129744351811
K058712-R	6.291164944268255
K058713-R	11.44214249687483
K058714-R	8.31299986277851
K058715-R	9.196253234815902
K058716-R	19.52857073219208
K058717-R	17.4177355493895
K058718-R	15.2529044987428
K058720-R	12.00782264094936
K058721-R	22.27404324463926
K058722-R	11.58732790351161
K058723-R	19.82718958780205
K058725-R	15.16569559028815
K058726-R	15.10524639005856
K058727-R	8.830182421672465
K058728-R	13.85283445431711
K058729-R	13.19432320834875
K058730-R	10.70358698242921
K058731-R	13.85099020967957
K058732-R	16.14975137558193
K058778-R	10.3614276317073
K058779-R	14.17572588904326
K058780-R	13.95760770113937
K058781-R	22.1568937499169
K058782-R	16.02920014358403
K058783-R	12.70219874563403
K058784-R	18.30174490874872
K058785-R	7.346722118235373
K058786-R	9.731432847664143
K058787-R	10.35069272301602
K058788-R	14.42457877653364
K058789-R	13.8808545865173
K058790-R	7.907802802043607
K058791-R	20.42877262877321
K058792-R	20.3247254026028
K058793-R	21.30565754714629
K058794-R	20.51587912339743
K058795-R	17.87157985708823
K058797-R	15.0741981094329
K058798-R	14.15781863376057
K058799-R	21.61990828804912
K058800-R	16.37900178681731
K058802-R	20.72896800914777
K058803-R	22.89546881337345
K058804-R	15.3973955559301
K058805-R	23.48519244319765
K058806-R	12.50538349280349
K058807-R	18.43479948910102
K058808-R	14.04626180106294
K058809-R	21.71017872499098
K058811-R	14.32561234343899
K058812-R	18.4728829651423
K058813-R	17.5658551972861
K058814-R	8.975491307629536
K058815-R	21.22755416052928
K058816-R	16.53997652565857
K058817-R	18.2501325013233
K058818-R	16.8875278777818
K058819-R	18.02463650110315
K058820-R	18.4949688878309
K058821-R	15.44241336100999
K058822-R	19.37882805096809
K058823-R	11.15281452664443
