	observed_features
K058683-R	165
K058684-R	68
K058685-R	90
K058686-R	63
K058687-R	90
K058688-R	80
K058689-R	87
K058690-R	40
K058691-R	59
K058692-R	85
K058693-R	80
K058695-R	64
K058696-R	45
K058697-R	59
K058698-R	62
K058699-R	94
K058701-R	62
K058702-R	51
K058703-R	66
K058704-R	80
K058705-R	99
K058706-R	157
K058707-R	47
K058708-R	78
K058709-R	80
K058710-R	66
K058711-R	105
K058712-R	57
K058713-R	111
K058714-R	83
K058715-R	74
K058716-R	173
K058717-R	169
K058718-R	127
K058720-R	90
K058721-R	195
K058722-R	87
K058723-R	160
K058725-R	150
K058726-R	143
K058727-R	57
K058728-R	137
K058729-R	118
K058730-R	89
K058731-R	95
K058732-R	176
K058778-R	64
K058779-R	119
K058780-R	139
K058781-R	222
K058782-R	147
K058783-R	99
K058784-R	186
K058785-R	58
K058786-R	64
K058787-R	62
K058788-R	146
K058789-R	93
K058790-R	41
K058791-R	155
K058792-R	157
K058793-R	156
K058794-R	199
K058795-R	167
K058797-R	101
K058798-R	85
K058799-R	169
K058800-R	137
K058802-R	157
K058803-R	259
K058804-R	110
K058805-R	230
K058806-R	72
K058807-R	144
K058808-R	115
K058809-R	231
K058811-R	97
K058812-R	174
K058813-R	144
K058814-R	86
K058815-R	179
K058816-R	135
K058817-R	184
K058818-R	127
K058819-R	156
K058820-R	167
K058821-R	138
K058822-R	162
K058823-R	66
