sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,LIMS,SAMPLE.NAME,RNA.NAME,DNA.NAME,NOTES,DNASE.TREATED,EXTRACTION.DATE,LabNumber,Date,Common.name_Species,Genus,Species,otherid,Microchip,Age.class,Sex,Locality,Section,Protected.Area,Country,GPS.S,GPS.E,FAECES_SampleNumber,FAECES_Prep.type,FAECES_Count,Diet_type
K058683-R,1.079455922505182,1.3982670503131,1.265413121842928,1.459727062610909,1.400998133915595,1.331404034956206,1.105852118738534,1.446878174308146,1.354262258025005,1.112879828152557,17.99740980840275,18.19374675512091,18.35133589178563,17.49510660148814,18.7559860230144,17.58390311335345,18.35858220023811,17.91731948477551,18.12274148809263,18.39795032777363,18.93189222470832,18.88376430306679,19.07569756266756,18.85352399677945,18.96363452228693,18.61944650696686,19.20965245471311,19.01620729875155,18.94238917448533,18.74010735960772,19.44801676844222,19.44801676844222,19.31275171891761,19.20727881428761,18.8859267577166,19.31839217816454,19.30191594374341,18.92852254508741,19.072013764763,19.20727881428761,19.2072788142876,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.072013764763,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.31275171891761,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.2072788142876,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,19.44801676844222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058683,21/020,R21/020,D21/020,,YES,27/08/2023,2021-000020,20-Feb-21,African wild dog,Lycaon,pictus,LP-BA-02M,4C4523255E,Adult,Female,S82,Crocodile bridge,Kruger National Park,South Africa,-251	959,3	188	719,2021-000020,Faeces,1,Carnivore
K058684-R,1.227393580000966,1.227393580000966,1.215673479953419,1.0642448031853,1.234493245714073,1.25703288567012,1.305013555567712,1.126504281046648,1.110175713998953,1.410096705402095,7.73972875182773,7.73972875182773,7.73972875182773,7.73972875182773,7.73972875182773,7.346916605953824,7.73972875182773,7.73972875182773,7.346916605953824,7.346916605953824,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827728,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,7.739728751827727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058684,21/014,R21/014,D21/014,,YES,28/08/2023,2021-000014,31-Jan-21,African wild dog,Lycaon,pictus,LP-B-01F,,Adult,Female,Nkhuhlu,Lower Sabie,Kruger National Park,South Africa,-25	001	272,31	773	017,2021-000014,Faeces,1,Carnivore
K058685-R,1.129580231936225,1.219063083286126,1.22249380591085,1.375805246181424,1.23546803678494,1.654966396512464,1.159723698335784,1.44751480661783,1.22249380591085,1.395615501550416,9.928643964681594,9.592953212322838,9.763139232216732,9.85435146126199,10.06017448239383,9.905015259378136,9.770510945675172,10.00671223458719,9.80163374450874,10.00671223458719,10.06017449239383,10.26811050352634,10.26811049352634,10.06303200344789,10.26811050352634,10.14018203792156,10.14018202792156,10.26811050352634,10.26811049352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,10.26811050352634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058685,22/893,R22/893,D22/893,,YES,28/08/2023,2022-000893,3-Dec-22,African wild dog,Lycaon,pictus,,4700017558,Adult,Male,Nhlanguleni,Tshokwane,Kruger National Park,South Africa,-24.710833,31.65805,2022-000893,Faeces,1,Carnivore
K058686-R,1.110175713998953,1.325341017087339,1.395615501550416,1.325341017087339,1.107588985016835,1.353475644939969,1.512965771991096,1.475760541734015,1.512965771991096,1.219063083286126,6.545631409507129,6.545631409507129,6.545631409507129,6.485519596259925,6.545631409507129,6.545631409507129,6.36171913496886,6.526182015310857,6.526182015310857,6.273224019388463,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,6.545631409507129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058686,22/426,R22/426,D22/426,DIARRHEA (GLOVE),YES,28/08/2023,2022-000426,25-Jun-22,African wild dog,Lycaon,pictus,LP-BO-04F,,Young adult,Female,Biyamiti bush camp,Crocodile bridge,Kruger National Park,South Africa,-25.32218,31.74622,2022-000426,Faeces,1,Carnivore
K058687-R,1.219063083286126,1.358053570264019,1.224925353890285,1.099102562159418,1.216089284226718,1.410096705402095,1.644976919039542,1.086279489775036,1.351764501992071,1.64500259619086,9.01876703482397,9.01876703482397,9.018767024823973,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,8.942875156775546,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.01876703482397,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,9.018767034823968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058687,21/099,R21/099,D21/099,DIARRHEA (GLOVE),YES,28/08/2023,2021-000099,4-Feb-21,African wild dog,Lycaon,pictus,LP-BM-01F,,Adult,Female,Imbali access,Kingfisherspruit,Kruger National Park,South Africa,-24	858	766,31	626	643,2021-000099,Faeces,1,Carnivore
K058688-R,1.219619372794283,1.654966396512464,1.64500259619086,1.234493245714073,1.647601020988077,1.216089284226718,1.512965771991096,1.215673479953419,1.234493245714073,1.076935871958191,8.437758193469064,8.58636094825459,8.216225909041205,8.348021380819887,8.595522021625698,8.474119372882457,8.494162727363916,8.513947448898072,8.550234428811784,8.528570031253587,8.693812524283931,8.693812524283931,8.480926685350642,8.586331148248792,8.688569435135038,8.688569435135038,8.693812524283931,8.693812524283931,8.685523299251258,8.693812524283931,8.69381252428393,8.69381252428393,8.69381252428393,8.69381252428393,8.69381252428393,8.55331037970136,8.69381252428393,8.69381252428393,8.69381252428393,8.69381252428393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058688,22/717,R22/717,D22/717,DIARRHEA (GLOVE),YES,29/08/2023,NA,NA,African wild dog,Lycaon,pictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore
K058689-R,1.337771837581999,1.121608582911586,1.383086043974503,1.144363702717085,1.37342243815652,1.370909444376403,1.378497510793348,1.299596986488829,1.378497510793348,1.306783121998811,10.95765367294424,11.8844185704037,11.4316303719381,11.6190336137973,11.84913762748683,11.57345931999376,11.73729453139448,11.81929854020918,11.56133341251623,11.44207048751044,11.73729453139448,11.8844185704037,11.8844185704037,11.5966143554331,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.73729453139448,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,11.8844185704037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058689,22/718,R22/718,D22/718,DIARRHEA (GLOVE),YES,29/08/2023,2022-000718,28-Aug-22,African wild dog,Lycaon,pictus,LP-BM-03F,,Adult,Female,,Tshokwane,Kruger National Park,South Africa,-24.81254,31.-856590,2022-000718,Faeces,1,Carnivore
K058690-R,1.110174694155492,1.290358946070735,1.373216279251379,1.076935871958191,1.241632210846208,1.215673479953419,1.395615501550416,1.099102562159418,1.086279489775036,1.099102562159418,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,5.311669785602462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058690,18/631,R18/631,D18/631,,YES,29/08/2023,18/631,26-Nov-18,African wild dog,Lycaon,pictus,LVS201811-006,4C4A53666F,Adult,Female,Wolhuter camp,Stolznek,Kruger National Park,South Africa,-25.37813,31.39288,18/631,Faeces,1,Carnivore
K058691-R,1.099102562159418,1.219619372794283,1.264483115749732,1.449195346661031,1.219063089450279,1.106062491003962,1.110175136056336,1.410096705402095,1.086279489775036,1.264483115749732,5.351485518822672,5.348423784915584,5.244729671257383,5.348423784915584,5.348423784915584,5.351485518822672,5.351485513822672,5.34582572776967,5.351485508822671,5.348423784915584,5.351485518822672,5.349812983852106,5.351485518822672,5.351485513822672,5.351485518822672,5.351485518822672,5.351485518822672,5.351485518822672,5.342763998862582,5.351485518822672,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,5.35148551882267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058691,23/010,R23/010,D23/010,,YES,30/08/2023,2023-000010,8-Feb-23,African wild dog,Lycaon,pictus,,4700017718,Prime adult,Male,Mahonie loop,Punda Maria,Kruger National Park,South Africa,-22.69406,31.00854,2023-000010,Faeces,1,Carnivore
K058692-R,1.51567520509582,1.076935871958191,1.227393580000966,1.64500259619086,1.654966396512464,1.407460047275488,1.081065026867353,1.224925376985761,1.647601021098633,1.237467040773481,9.322264760096674,9.038711141869149,8.545366869492838,8.880272688639462,9.322264760096674,8.974637019510498,8.739850591942389,9.322264760096674,9.117768541040949,8.739850591942389,8.974637019510498,9.322264760096674,9.322264760096674,9.023404210169913,9.322264760096674,9.322264760096674,9.023404210169913,9.023404210169913,9.023404210169913,9.322264760096674,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,9.322264760096672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058692,18/104,R18/104,D18/104,,YES,30/08/2023,18/104,12-Apr-18,African wild dog,Lycaon,pictus,LP-J-01f,4C470C710B,Adult,Male,H3/Biyamiti,Stolznek,Kruger National Park,South Africa,-25.23901,31.56626,18/104,Faeces,1,Carnivore
