sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,LIMS,SAMPLE.NAME,RNA.NAME,DNA.NAME,NOTES,DNASE.TREATED,EXTRACTION.DATE,LabNumber,Date,Common.name_Species,Genus,Species,otherid,Microchip,Age.class,Sex,Locality,Section,Protected.Area,Country,GPS.S,GPS.E,FAECES_SampleNumber,FAECES_Prep.type,FAECES_Count,Diet_type
K058683-R,1,1,1,1,1,1,1,1,1,1,158.0,159.0,159.0,158.0,166.0,159.0,159.0,158.0,159.0,161.0,167.0,167.0,167.0,166.0,166.0,165.0,168.0,166.0,167.0,165.0,170.0,170.0,169.0,169.0,167.0,169.0,169.0,167.0,168.0,169.0,169.0,170.0,170.0,170.0,170.0,168.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,169.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,169.0,170.0,170.0,170.0,170.0,170.0,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058683,21/020,R21/020,D21/020,,YES,27/08/2023,2021-000020,20-Feb-21,African wild dog,Lycaon,pictus,LP-BA-02M,4C4523255E,Adult,Female,S82,Crocodile bridge,Kruger National Park,South Africa,-251	959,3	188	719,2021-000020,Faeces,1,Carnivore
K058684-R,1,1,1,1,1,1,1,1,1,1,68.0,68.0,68.0,68.0,68.0,67.0,68.0,68.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058684,21/014,R21/014,D21/014,,YES,28/08/2023,2021-000014,31-Jan-21,African wild dog,Lycaon,pictus,LP-B-01F,,Adult,Female,Nkhuhlu,Lower Sabie,Kruger National Park,South Africa,-25	001	272,31	773	017,2021-000014,Faeces,1,Carnivore
K058685-R,1,1,1,1,1,1,1,1,1,1,89.0,89.0,89.0,90.0,90.0,90.0,89.0,90.0,89.0,90.0,91.0,93.0,92.0,91.0,93.0,92.0,91.0,93.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058685,22/893,R22/893,D22/893,,YES,28/08/2023,2022-000893,3-Dec-22,African wild dog,Lycaon,pictus,,4700017558,Adult,Male,Nhlanguleni,Tshokwane,Kruger National Park,South Africa,-24.710833,31.65805,2022-000893,Faeces,1,Carnivore
K058686-R,1,1,1,1,1,1,1,1,1,1,63.0,63.0,63.0,62.0,63.0,63.0,61.0,62.0,62.0,59.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058686,22/426,R22/426,D22/426,DIARRHEA (GLOVE),YES,28/08/2023,2022-000426,25-Jun-22,African wild dog,Lycaon,pictus,LP-BO-04F,,Young adult,Female,Biyamiti bush camp,Crocodile bridge,Kruger National Park,South Africa,-25.32218,31.74622,2022-000426,Faeces,1,Carnivore
K058687-R,1,1,1,1,1,1,1,1,1,1,90.0,89.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058687,21/099,R21/099,D21/099,DIARRHEA (GLOVE),YES,28/08/2023,2021-000099,4-Feb-21,African wild dog,Lycaon,pictus,LP-BM-01F,,Adult,Female,Imbali access,Kingfisherspruit,Kruger National Park,South Africa,-24	858	766,31	626	643,2021-000099,Faeces,1,Carnivore
K058688-R,1,1,1,1,1,1,1,1,1,1,77.0,80.0,79.0,79.0,80.0,80.0,80.0,79.0,80.0,80.0,83.0,83.0,81.0,81.0,82.0,82.0,83.0,83.0,81.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,83.0,83.0,83.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058688,22/717,R22/717,D22/717,DIARRHEA (GLOVE),YES,29/08/2023,NA,NA,African wild dog,Lycaon,pictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore
K058689-R,1,1,1,1,1,1,1,1,1,1,84.0,87.0,85.0,85.0,86.0,85.0,86.0,86.0,84.0,84.0,86.0,87.0,87.0,85.0,87.0,87.0,87.0,87.0,87.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058689,22/718,R22/718,D22/718,DIARRHEA (GLOVE),YES,29/08/2023,2022-000718,28-Aug-22,African wild dog,Lycaon,pictus,LP-BM-03F,,Adult,Female,,Tshokwane,Kruger National Park,South Africa,-24.81254,31.-856590,2022-000718,Faeces,1,Carnivore
K058690-R,1,1,1,1,1,1,1,1,1,1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058690,18/631,R18/631,D18/631,,YES,29/08/2023,18/631,26-Nov-18,African wild dog,Lycaon,pictus,LVS201811-006,4C4A53666F,Adult,Female,Wolhuter camp,Stolznek,Kruger National Park,South Africa,-25.37813,31.39288,18/631,Faeces,1,Carnivore
K058691-R,1,1,1,1,1,1,1,1,1,1,59.0,58.0,56.0,58.0,58.0,59.0,58.0,56.0,57.0,58.0,59.0,58.0,59.0,58.0,59.0,59.0,59.0,59.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058691,23/010,R23/010,D23/010,,YES,30/08/2023,2023-000010,8-Feb-23,African wild dog,Lycaon,pictus,,4700017718,Prime adult,Male,Mahonie loop,Punda Maria,Kruger National Park,South Africa,-22.69406,31.00854,2023-000010,Faeces,1,Carnivore
K058692-R,1,1,1,1,1,1,1,1,1,1,87.0,85.0,84.0,85.0,87.0,85.0,84.0,87.0,86.0,84.0,85.0,87.0,87.0,86.0,87.0,87.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058692,18/104,R18/104,D18/104,,YES,30/08/2023,18/104,12-Apr-18,African wild dog,Lycaon,pictus,LP-J-01f,4C470C710B,Adult,Male,H3/Biyamiti,Stolznek,Kruger National Park,South Africa,-25.23901,31.56626,18/104,Faeces,1,Carnivore
