sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1112_iter-1,depth-1112_iter-2,depth-1112_iter-3,depth-1112_iter-4,depth-1112_iter-5,depth-1112_iter-6,depth-1112_iter-7,depth-1112_iter-8,depth-1112_iter-9,depth-1112_iter-10,depth-2223_iter-1,depth-2223_iter-2,depth-2223_iter-3,depth-2223_iter-4,depth-2223_iter-5,depth-2223_iter-6,depth-2223_iter-7,depth-2223_iter-8,depth-2223_iter-9,depth-2223_iter-10,depth-3334_iter-1,depth-3334_iter-2,depth-3334_iter-3,depth-3334_iter-4,depth-3334_iter-5,depth-3334_iter-6,depth-3334_iter-7,depth-3334_iter-8,depth-3334_iter-9,depth-3334_iter-10,depth-4445_iter-1,depth-4445_iter-2,depth-4445_iter-3,depth-4445_iter-4,depth-4445_iter-5,depth-4445_iter-6,depth-4445_iter-7,depth-4445_iter-8,depth-4445_iter-9,depth-4445_iter-10,depth-5556_iter-1,depth-5556_iter-2,depth-5556_iter-3,depth-5556_iter-4,depth-5556_iter-5,depth-5556_iter-6,depth-5556_iter-7,depth-5556_iter-8,depth-5556_iter-9,depth-5556_iter-10,depth-6667_iter-1,depth-6667_iter-2,depth-6667_iter-3,depth-6667_iter-4,depth-6667_iter-5,depth-6667_iter-6,depth-6667_iter-7,depth-6667_iter-8,depth-6667_iter-9,depth-6667_iter-10,depth-7778_iter-1,depth-7778_iter-2,depth-7778_iter-3,depth-7778_iter-4,depth-7778_iter-5,depth-7778_iter-6,depth-7778_iter-7,depth-7778_iter-8,depth-7778_iter-9,depth-7778_iter-10,depth-8889_iter-1,depth-8889_iter-2,depth-8889_iter-3,depth-8889_iter-4,depth-8889_iter-5,depth-8889_iter-6,depth-8889_iter-7,depth-8889_iter-8,depth-8889_iter-9,depth-8889_iter-10,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,LIMS,SAMPLE.NAME,RNA.NAME,DNA.NAME,NOTES,DNASE.TREATED,EXTRACTION.DATE,LabNumber,Date,Common.name_Species,Genus,Species,otherid,Microchip,Age.class,Sex,Locality,Section,Protected.Area,Country,GPS.S,GPS.E,FAECES_SampleNumber,FAECES_Prep.type,FAECES_Count,Diet_type
K058683-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.968419327087854,6.952273430140039,6.9334157749547085,6.959007533097239,6.949531419677767,6.960542738046865,6.928800211070888,6.902428526384521,6.960824599104676,6.946356413267601,6.987355363281515,7.017145019563135,7.009036234059651,7.003404698299192,7.010395281650398,7.038541837387057,6.990664179522069,7.006014260890112,6.967809360635746,7.002434153384078,7.037155994407365,7.026196901345406,7.020966858094852,7.047397163131052,7.020390961770119,7.055516336017318,7.035588457879088,7.039963121537139,7.043598350937374,7.034212759586253,7.025415982018136,7.0485460439176695,7.049118095853234,7.03584876623821,7.041214260950518,7.034037569124839,7.040742290779724,7.046532296421528,7.045751356820163,7.0336381749105,7.049823921549705,7.043171419380496,7.0425258017603385,7.050850140126918,7.058303171788272,7.045049254165325,7.047125185078926,7.051692497440302,7.048863063969102,7.040211355860419,7.055817856865862,7.053018403010063,7.045993771288352,7.039680255094585,7.044802743560253,7.041567684177479,7.047951560760389,7.045325160102527,7.041971874386311,7.043615377124494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058683,21/020,R21/020,D21/020,,YES,27/08/2023,2021-000020,20-Feb-21,African wild dog,Lycaon,pictus,LP-BA-02M,4C4523255E,Adult,Female,S82,Crocodile bridge,Kruger National Park,South Africa,-251	959,3	188	719,2021-000020,Faeces,1,Carnivore
K058684-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.817373853220362,5.8263895001686885,5.830736888409569,5.796114622675651,5.814838772421016,5.835057547168323,5.844738710118347,5.814893465980767,5.824304399790469,5.835662478216046,5.832756454648382,5.840983765440406,5.838244756125506,5.8301472807340575,5.833683816893659,5.827388465701623,5.829784638612162,5.842285196985659,5.841715505933417,5.840699696224706,5.84439221972476,5.842142893400734,5.843420718714526,5.842494389801647,5.842779156305797,5.843046808229184,5.842561595042755,5.842969890134619,5.841718119631786,5.843267986250192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058684,21/014,R21/014,D21/014,,YES,28/08/2023,2021-000014,31-Jan-21,African wild dog,Lycaon,pictus,LP-B-01F,,Adult,Female,Nkhuhlu,Lower Sabie,Kruger National Park,South Africa,-25	001	272,31	773	017,2021-000014,Faeces,1,Carnivore
K058685-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.143598264110986,6.130212169504864,6.113952047273779,6.157593915007528,6.135264348285176,6.109594858581664,6.096372823160184,6.13022466598698,6.120852996594516,6.144521920417991,6.176997573582295,6.174782823400485,6.169802877906721,6.153345127828855,6.1862914348137,6.185219104452314,6.175208714513654,6.153207029350974,6.163987841523212,6.1607239776857945,6.17405386247878,6.183925945315777,6.175406155384962,6.1788650943095975,6.181762276671195,6.1801240588468165,6.170163082484009,6.183305683536508,6.170934698757471,6.181779242444223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058685,22/893,R22/893,D22/893,,YES,28/08/2023,2022-000893,3-Dec-22,African wild dog,Lycaon,pictus,,4700017558,Adult,Male,Nhlanguleni,Tshokwane,Kruger National Park,South Africa,-24.710833,31.65805,2022-000893,Faeces,1,Carnivore
K058686-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.584754722900307,5.598583640103537,5.615894502163337,5.563577086822979,5.592119275575555,5.62963932831838,5.600359169507414,5.613405322376284,5.557292189323311,5.580665664761281,5.608843684929211,5.626057264779851,5.624317120485861,5.622290803098451,5.6304779173285,5.633006830287131,5.611532506384741,5.619679753527791,5.626848791955182,5.6366412918166455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058686,22/426,R22/426,D22/426,DIARRHEA (GLOVE),YES,28/08/2023,2022-000426,25-Jun-22,African wild dog,Lycaon,pictus,LP-BO-04F,,Young adult,Female,Biyamiti bush camp,Crocodile bridge,Kruger National Park,South Africa,-25.32218,31.74622,2022-000426,Faeces,1,Carnivore
K058687-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.164758896989,6.122560554935086,6.133006356744045,6.177620261026572,6.154779306587582,6.144719372089295,6.113036517853618,6.147371490605454,6.126557393893961,6.1358577609552025,6.165937520277131,6.17728558438453,6.183798980139931,6.168034270528322,6.161192873968631,6.167779088551264,6.159803907256818,6.1702105388289885,6.180361939123345,6.170197314570274,6.172994330273751,6.175853698983953,6.180085940494861,6.178323483610369,6.177003955267746,6.176529473164814,6.179108354586743,6.179380040344769,6.181319203362103,6.178967827274829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058687,21/099,R21/099,D21/099,DIARRHEA (GLOVE),YES,28/08/2023,2021-000099,4-Feb-21,African wild dog,Lycaon,pictus,LP-BM-01F,,Adult,Female,Imbali access,Kingfisherspruit,Kruger National Park,South Africa,-24	858	766,31	626	643,2021-000099,Faeces,1,Carnivore
K058688-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.917661754240703,5.945888497547413,5.925115096821686,5.916226532863266,5.939186772174179,5.948277534119958,5.940446910493712,5.911664589049762,5.920599086216142,5.930107383830258,5.942132928070445,5.935155694441586,5.943072499818198,5.941965424965225,5.943457010067972,5.941384646659378,5.952822424633276,5.957867861578425,5.930536635999786,5.962776420861153,5.959012150601905,5.965025067009041,5.959834077810884,5.960782746053746,5.960859974681181,5.956406301164198,5.957552335168764,5.960695338199558,5.963761623749571,5.962470183491962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058688,22/717,R22/717,D22/717,DIARRHEA (GLOVE),YES,29/08/2023,NA,NA,African wild dog,Lycaon,pictus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carnivore
K058689-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.018856853013608,6.038417528078117,6.013438364205217,6.023591616025874,6.010740069949053,6.033686056205947,6.045479258152144,6.054073238827694,6.036363638013534,5.985852157707107,6.083416652978943,6.0528662752677125,6.070334424584819,6.042921629128418,6.05042806318812,6.075918553787975,6.058098770433281,6.044134766526563,6.052293245107427,6.0514813236311085,6.074794734599967,6.074237413224464,6.071617365978008,6.074160256700572,6.06028251615559,6.063483826453141,6.078698666429754,6.07606582194859,6.086019857653755,6.077614349794836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058689,22/718,R22/718,D22/718,DIARRHEA (GLOVE),YES,29/08/2023,2022-000718,28-Aug-22,African wild dog,Lycaon,pictus,LP-BM-03F,,Adult,Female,,Tshokwane,Kruger National Park,South Africa,-24.81254,31.-856590,2022-000718,Faeces,1,Carnivore
K058690-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.977955009105549,4.98638853375902,5.005045319445438,4.984158946032861,4.974493173358819,4.962603602296595,4.945139156901205,4.986195780406605,4.943203012626052,4.976050191463163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058690,18/631,R18/631,D18/631,,YES,29/08/2023,18/631,26-Nov-18,African wild dog,Lycaon,pictus,LVS201811-006,4C4A53666F,Adult,Female,Wolhuter camp,Stolznek,Kruger National Park,South Africa,-25.37813,31.39288,18/631,Faeces,1,Carnivore
K058691-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5.37106047664475,5.348585985370731,5.315507618734511,5.412482411172606,5.303943835906809,5.3610463000030055,5.348406186694166,5.346041280427094,5.344068575472337,5.264966149379606,5.353287757798544,5.337690544597697,5.37257766402374,5.3652520043356695,5.315752402315226,5.383087082262643,5.330974882787492,5.371461378212151,5.327590914373189,5.319005136299551,5.362328653737748,5.339365134711484,5.374425519159022,5.344187631797645,5.349375273231567,5.35401273525378,5.334983963343487,5.351079384327468,5.358823207141806,5.367967003220809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058691,23/010,R23/010,D23/010,,YES,30/08/2023,2023-000010,8-Feb-23,African wild dog,Lycaon,pictus,,4700017718,Prime adult,Male,Mahonie loop,Punda Maria,Kruger National Park,South Africa,-22.69406,31.00854,2023-000010,Faeces,1,Carnivore
K058692-R,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.005014640040464,5.950262005786328,5.928344121189806,5.984314490025899,5.998624861366165,5.9548238876989625,5.9617786031903455,6.020372842500976,5.975469482414634,5.99017078903998,6.001382439354285,6.004430943823487,6.010838831814882,6.014690927231684,6.022588440970731,6.01066445106716,6.00891259485565,5.994699741595218,5.995007288712443,6.010112726407083,6.013451783283928,6.023812223528448,6.004190950272901,6.010011722982423,6.007080040849006,6.02251722626388,6.008023703790845,6.0197970242979295,6.015905538301663,6.02918827517109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K058692,18/104,R18/104,D18/104,,YES,30/08/2023,18/104,12-Apr-18,African wild dog,Lycaon,pictus,LP-J-01f,4C470C710B,Adult,Male,H3/Biyamiti,Stolznek,Kruger National Park,South Africa,-25.23901,31.56626,18/104,Faeces,1,Carnivore
