	shannon_entropy
K058683-R	7.027514659774036
K058684-R	5.8299546404550915
K058685-R	6.159209797826894
K058686-R	5.619607676239741
K058687-R	6.156979477572772
K058688-R	5.932762702743763
K058689-R	6.051251873229157
K058690-R	4.977931294132956
K058691-R	5.319629289184025
K058692-R	6.021864476511547
K058693-R	6.018915418815008
K058695-R	5.659596196204691
K058696-R	5.31886287254331
K058697-R	5.629651260973095
K058698-R	5.658080521683937
K058699-R	6.23359627647904
K058701-R	5.649674266780797
K058702-R	5.274710364078851
K058703-R	5.5841047034060844
K058704-R	5.772194637005787
K058705-R	6.304472764162906
K058706-R	6.901332185754696
K058707-R	5.151100854564303
K058708-R	6.056141434018821
K058709-R	5.600995588126973
K058710-R	5.607183771344184
K058711-R	6.298845970182747
K058712-R	5.588799523033459
K058713-R	6.457527758631288
K058714-R	5.895697696421277
K058715-R	5.932703648623901
K058716-R	7.083470246352088
K058717-R	7.03632713413277
K058718-R	6.658050524650131
K058720-R	6.143120352037086
K058721-R	7.2955408188956925
K058722-R	6.119283834612481
K058723-R	6.814710402969976
K058725-R	6.856809131775544
K058726-R	6.810010591185695
K058727-R	5.510782769275468
K058728-R	6.747853155757522
K058729-R	6.544268200993945
K058730-R	6.054842910190909
K058731-R	6.170415689012676
K058732-R	7.009741992538831
K058778-R	5.543510755737627
K058779-R	6.5390931895745785
K058780-R	6.672457344351095
K058781-R	7.458687313134848
K058782-R	6.7840953826254236
K058783-R	6.15481964215606
K058784-R	7.1097411797657815
K058785-R	5.609248927050192
K058786-R	5.627346098993331
K058787-R	5.467975382379577
K058788-R	6.905852693468558
K058789-R	6.185847274081057
K058790-R	4.66260509793462
K058791-R	6.941406609892709
K058792-R	6.892044613333815
K058793-R	6.887239481865555
K058794-R	7.339719799728104
K058795-R	7.080240961629997
K058797-R	6.258388679090849
K058798-R	6.002398551433011
K058799-R	7.020527526486196
K058800-R	6.7529015752894095
K058802-R	6.934273221480804
K058803-R	7.697444645486126
K058804-R	6.519964980326151
K058805-R	7.541889366937036
K058806-R	5.879541109360758
K058807-R	6.810094911054286
K058808-R	6.526405760288838
K058809-R	7.5192754571777165
K058811-R	6.260183467108233
K058812-R	7.140548309030462
K058813-R	6.742217723090894
K058814-R	5.945384777709209
K058815-R	7.1351764995684945
K058816-R	6.73129033014853
K058817-R	7.223779260936543
K058818-R	6.636126444218214
K058819-R	6.933898447638426
K058820-R	6.986307100988843
K058821-R	6.743595301351514
K058822-R	7.005218414643055
K058823-R	5.745260126417953
