pathway	K058683-R	K058684-R	K058685-R	K058686-R	K058687-R	K058688-R	K058689-R	K058690-R	K058691-R	K058692-R	K058693-R	K058694-R	K058695-R	K058696-R	K058697-R	K058698-R	K058699-R	K058700-R	K058701-R	K058702-R	K058703-R	K058704-R	K058705-R	K058706-R	K058707-R	K058708-R	K058709-R	K058710-R	K058711-R	K058712-R	K058713-R	K058714-R	K058715-R	K058716-R	K058717-R	K058718-R	K058720-R	K058721-R	K058722-R	K058723-R	K058725-R	K058726-R	K058727-R	K058728-R	K058729-R	K058730-R	K058731-R	K058732-R	K058778-R	K058779-R	K058780-R	K058781-R	K058782-R	K058783-R	K058784-R	K058785-R	K058786-R	K058787-R	K058788-R	K058789-R	K058790-R	K058791-R	K058792-R	K058793-R	K058794-R	K058795-R	K058796-R	K058797-R	K058798-R	K058799-R	K058800-R	K058802-R	K058803-R	K058804-R	K058805-R	K058806-R	K058807-R	K058808-R	K058809-R	K058810-R	K058811-R	K058812-R	K058813-R	K058814-R	K058815-R	K058816-R	K058817-R	K058818-R	K058819-R	K058820-R	K058821-R	K058822-R	K058823-R	K058824-R
1CMET2-PWY	6623.346925180271	2600.359576413994	3045.637890046132	2518.0441350939673	2859.4720282589724	2965.607628252387	3450.97069201525	1393.6772618235232	2252.325150727726	3468.734215172538	3179.9030626941044	742.5684199938987	1862.9356695005886	1592.8268296042504	2371.8756678043674	1965.5280894422424	3441.8694420885877	1202.2834062783982	2188.3142643253027	1998.5705599716914	1924.4907312674143	2470.038828356368	3286.5604109640217	4968.916051012003	2339.748266253208	2818.0074857897557	4100.472472668473	2586.661310010109	3443.031063363191	2378.675960421875	3741.644667591619	2937.674850324093	2626.4726253981726	6631.1085779199975	6666.227767372072	4659.292094409204	2908.5374239910634	7213.432324125918	3133.7303983591964	5285.923180027704	5675.874663256899	5497.886129922876	1757.2010268264696	5388.396123483699	4704.385698389996	3659.627129041236	3884.911168226872	6773.7443955523595	2451.236970978624	4210.800769247574	5976.270452334291	8197.003620124558	5308.251038067485	3413.1472456796937	7068.620454007587	2317.235962813927	2877.061021376618	2431.389300400642	5455.719086801744	3089.0160543604693	1732.827031992176	5189.0889796882975	6295.178362389558	4898.244836673922	6879.915909283615	5797.4455225532465	1517.2813882247258	3695.889610269928	2912.372889543875	5657.239248350979	4489.449721110284	5321.0759486043935	9814.485091864262	3688.939479224742	8073.220988065689	2323.3221043862836	4860.966586974214	4026.1807187649533	8425.370153994376	765.5453217699995	3218.430892005432	6147.270280194525	4519.520837554365	3629.722612393904	5994.187923219811	5088.959692217647	6401.415514327056	4027.667867688747	5420.652515871415	5198.7760025655525	4893.523074001785	5705.114094082931	1980.1570862696055	1192.0401155512584
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	132.61793581365788	0.0	0.0	43.86848712034092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.346223831140224	0.0	0.0	4.646236723043563	0.0	0.0	0.0	42.18556398943576	0.0	0.0	19.306221553732538	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.62635709341116	3.4810614038979124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY	0.0	5.11	0.0	0.0	33.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	54.065286428665445	904.8750038579955	0.0	430.5761828543803	481.0581024124302	0.0	0.0	0.0	295.82694295655216	0.0	0.0	0.0	205.0193200208743	0.0	12.136090609573802	19.041447989844418	0.0	77.99481748694184	52.719535300956686	1171.8090001821506	185.37801190307945	23.930980021351875	853.8249944820873	346.21792620444336	0.0	285.3722416435475	100.52364190611303	0.0	0.0	0.0	0.0	132.99548372970168	253.1409437348677	0.0	165.14001667584776	0.0	0.0	0.0	0.0	0.0	474.5991336036589	0.0	0.0	592.9856149691794	0.0	0.0	56.41953430322319	844.9187690024332	0.0	219.86520833236526	0.0	272.8511095702186	59.71679686309451	108.63370159923886	0.0	271.0869508655133	0.0	0.0	86.26123456985404	0.0	0.0	0.0	0.0	86.9966637871132	82.88566499560669	74.30359006339626	0.0	0.0	0.0	0.0	0.0	292.50071416800733	80.68048237058102	94.70036443512215	0.0	51.53244307889429	110.24260644986798	0.0	98.94684538539283	38.9170340658703	309.18770080510393	0.0	0.0	62.187859304212736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.558298900541732	0.0	0.0
ANAEROFRUCAT-PWY	5454.04530382779	2479.17045018714	2426.1922176007542	1866.2766978207994	2109.016229640261	2459.817008322665	2542.9230998395374	1218.3240063761355	2130.2969385756687	2516.915178451381	2743.6419563412937	664.5193310838589	2046.5102575459216	1455.3067849930126	2614.9802339807457	1885.409384630273	3580.7122762945833	1381.8544509423157	2149.66375561555	2110.462861681252	1859.5979514591636	3258.1222298797184	3326.2778665752985	4462.343422082147	1874.7641255956114	2809.9976637971486	3234.656556926812	1382.4174971697028	2765.1285725844473	2001.5078932398349	3200.929722192188	1811.1056529431185	2145.5343546674876	5518.613540890856	5475.652217969296	3915.341248656039	2276.2711867568696	6486.666387521438	2834.87022711643	4644.0655452441915	3629.1347790047525	3096.1926030043255	1072.0717928265137	3376.5670819515553	3118.285617079336	2686.009002190947	2519.5942668555035	4703.171663460508	1579.3794316310325	3749.735497485011	3272.730122435051	5024.7262700868105	3973.14212456773	2207.9252581382207	3682.8703168148368	1025.3275295334074	2273.596733646944	1901.6815544151739	3118.4830584636165	2471.516053232553	1271.8820673161442	3964.555032255208	4878.099438144232	4120.539246595129	4567.401094602288	5431.177222751742	918.2827972250818	2597.644000760876	2423.0357348667703	4273.925953666853	3409.416595210511	3618.766015670077	6053.811544703797	2659.3268207257906	6120.197724709446	1595.6237330140552	3434.2707659604603	2834.757892898465	5951.175967518043	579.4172642817944	2759.0344798346177	5089.254271464218	3876.412371561743	2139.87882866017	4748.8434129968855	4711.315426052834	5245.030602740584	3523.451883423593	4526.747315162843	4614.435789311172	4096.684779856866	5008.786977088703	1531.1034321332588	934.1117646766638
ANAGLYCOLYSIS-PWY	8204.85738572429	3361.358333984977	3884.552021087618	3053.2307052384594	3493.7746988498216	3669.597581455662	4291.331042564457	1885.4571107314707	3109.2494977823403	4294.493995381349	4054.3174129360664	978.386915988015	2740.4150256882263	2279.0082921681405	3405.4615764747396	3076.5012844049825	4768.873738145537	1696.712611680231	3044.414608349632	2549.68796064276	2569.3238706304937	3739.536182309141	4563.209131665241	6086.662640975707	3002.319687784146	3701.5420807757364	6015.562259356592	3201.7948676971523	4655.766752585199	3088.520547761984	5014.5842529564825	3940.149636979677	3558.9629203676363	8222.84173947489	8283.17657660961	5950.57386371862	3589.0190857356406	9040.874963845685	3955.5487438028504	6515.362490686408	7017.650559268416	6895.437994916773	2115.002973757571	6653.742635102522	5807.799830685299	4335.0710522584795	4569.217582482416	8336.201898540929	3248.8889739658057	5230.409387561364	7299.085032226813	9873.224461883725	6842.022514884382	4218.4043595551575	8897.89749916735	2957.4783546951467	3554.832649186455	3104.510716861225	6620.540698671629	3687.7850510703092	2237.9677092680163	6735.424258529114	7594.191818528915	6070.811624221535	8312.841565896908	7051.598713874383	1850.5089358077519	4395.032809413988	3555.4061580252887	6916.638232287913	5523.642143240379	6407.740941586321	11823.811167456657	4490.331748555276	9780.608401928572	2932.00974860817	5781.437569825465	5005.038436189163	10159.550755438715	899.8994017886218	3988.653119513757	7574.201419252508	5604.364985294323	4845.611233772525	7409.028460212792	6227.884734875758	7584.842684148827	4853.048843116835	6434.658339017528	6267.282112891362	5944.116088909037	6974.38569340629	2485.648706112912	1475.183379599935
ARG+POLYAMINE-SYN	2279.209418660283	1321.2474018450166	1119.809270416062	980.4420804497968	1098.3944922712922	884.70595724498	681.947863133061	622.60348802752	920.2522971738214	1322.8473066786503	909.3556332684817	85.36790196284151	779.3380320837483	475.2740464571555	605.3516601525874	874.9613728990223	1453.290687382012	657.5855076019844	750.4655052372425	1337.9727422849535	778.2822348227272	1147.039144550654	1666.3389950442015	1426.0062825860891	443.9322893881784	656.2156420926998	1774.6240433649587	986.4543636361202	1151.9497121092345	870.8869812107723	1177.6306521628285	1122.1286134256732	1019.3270253512424	2041.4904904257053	2084.7519791524855	1401.050997317651	1082.6176761458055	2418.966304623158	1215.8166945761493	1765.1308626977132	1347.427571771866	824.4544449202397	395.2556789528261	1534.2729050098408	475.1257109524981	632.5586188852034	601.6378329891459	2221.0626019799925	473.15336050582414	1166.7783028837612	624.8019109837383	1339.2105806755355	618.2705530042795	799.1992361387195	608.3247007636982	549.4166421167206	603.3601176401176	640.3012602289348	1018.2637264994631	986.9384893060151	316.0980304435151	435.98004900151636	2129.3070489708666	1897.2090892923497	1946.578972749145	1498.7591162195079	265.13491256720226	1145.235566262243	837.7299406734012	1821.1016321398442	1166.2752124842411	1413.2439272058077	1875.067373121086	1018.2659560048504	2690.0260406048387	724.7938223346238	1220.850676643719	820.9508528388781	2578.49318468462	229.4460696213183	1036.9273965918085	1627.855232078572	1394.5843390219231	710.497054111067	1281.2286973324044	2109.1140931586865	1781.6695003970137	1152.170407557439	1782.3609746988448	1883.4735663832444	1397.1057874206165	1424.3423313012224	489.8036467613249	485.1732903705553
ARGDEG-PWY	4.63511127511821	310.5828173979157	0.0	35.863345628362495	82.28846605389606	0.0	0.0	0.0	96.06954818215603	0.0	0.0	0.0	35.59981042267315	0.0	4.636326638825103	0.0	0.0	31.25858104018827	16.144853410094143	532.8280098060151	54.40701541532093	10.538287651217257	313.27678557034795	69.3827974178148	0.0	80.05549882470415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.79693751504124	0.0	0.0	18.694085584486736	162.02238449217637	0.0	37.85383098462807	0.0	69.68168243835304	3.8009807214537283	31.46828234881685	0.0	82.44980763340952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.157154814768502	0.0	22.540697702775432	0.0	0.0	0.0	0.0	0.0	55.056063262470126	6.909958883967173	35.1428667628515	0.0	16.28430927695939	26.63364784967218	0.0	17.97457857983179	16.479426544675615	87.7973287343204	0.0	0.0	18.622922919713908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.952779890919068	0.0	0.0
ARGORNPROST-PWY	0.0	463.16496355919855	365.96325418159967	323.3873160722637	309.8894551782629	427.4656444361276	0.0	576.9069024333423	908.6212391633826	954.7231519473755	272.7830955515225	0.0	891.7357074323684	559.7437419303759	864.5838847504592	543.6922815797177	1008.9037540245452	454.033986515032	706.0852476498789	578.0153390366411	622.5854920727564	1552.945967781752	1114.9603733427816	405.8836174795591	409.71567311279756	1151.130643603104	252.95561054341462	428.1973779304697	903.3617202812665	835.3829590996313	756.506146430338	458.2331871089191	798.2887448659202	0.0	0.0	37.70143660614681	106.07651138521925	0.0	0.0	0.0	400.7663713493061	261.3483924436269	56.12937833639792	205.8677902520851	152.8441957998143	21.613934169825	0.0	374.69096887062483	125.80872943833072	119.54909964055976	366.35002021906956	393.9403182587173	223.4386132485031	184.18248654524396	299.09284440556166	656.3812404299786	0.0	0.0	120.57424399754696	453.313158712981	0.0	658.670904331458	1025.3217930911824	779.5393658142078	395.11848677752056	247.8360749894362	0.0	550.6986950893732	159.91385486835125	1721.2714850751154	944.3468305036463	462.34124556852987	851.8556932763943	432.2437656163687	727.3368473930524	237.9877364134192	55.0770211064489	175.65505468171705	466.9851024363763	0.0	416.5515885924509	462.86787779430097	333.3737979036641	638.1628010080752	88.44637508920717	138.23328620963184	233.19037593127985	586.280075917814	496.6989283573276	267.2090528802069	210.11862536559235	301.03121567057394	0.0	0.0
ARGSYN-PWY	6202.975931053129	2043.0723885329796	2078.4412348545875	1697.9324779823287	2029.0415884499014	1835.3328373985423	3125.073523567982	1203.181506878769	1756.7411031760073	2851.804363521316	1937.9010741662846	609.7861459712301	1773.6296082705262	1293.793846635005	2401.957784701886	1459.9230993640376	2877.4447307496953	1141.8132643398346	1833.3419568551162	1717.7480387386663	1656.178373638778	2400.0572465933055	2895.4749489426167	3612.4200670719033	1485.6094526411073	2617.659712762928	4254.918920021528	1783.8703751150936	2932.0309433474354	1814.793947361698	3031.1680412680967	2767.2774474698012	2516.898029740392	5851.257652781702	5839.007856917467	4135.154934494741	2857.304071302794	6282.1540444578	3007.0327595407157	4547.44497114183	5401.806662303045	5110.170472693697	1490.949343625036	5028.360146055895	4202.838914438834	3082.6207326936296	3432.01109191886	6140.2968753733985	2194.9428048892955	3862.4900828980813	5526.474925609995	6965.9303199401575	5283.966938955698	3198.8917508291356	6554.57352328836	2154.76674396034	2661.4844415663547	2250.8211511664526	4431.271775712042	2590.566656334855	1536.9917568133208	5043.380920160018	6009.88639545922	4470.5366400105	5737.555894199752	5272.973920452109	1656.4127979538002	2865.9197757723646	2535.1365786929923	5179.078194739332	4454.537337092227	4581.72519713399	8159.202748254773	3386.2571704724214	7174.397958641598	2255.7797660390556	3940.479792830947	3614.013041629347	7177.643401817316	554.070843156989	2721.033495864447	5441.654671231089	3905.8363184179066	3749.8955719271416	4986.622891017326	4734.558546888697	5255.668231823901	3404.230510177249	4670.808472096097	4559.972580031676	4456.381506238571	4539.763151161021	1717.8159353956144	1336.218904779334
