sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
K058683-R	121916	17007	13.95	14934	10445	8.57	7697	6.31
K058684-R	92380	9727	10.53	8932	7025	7.6	3353	3.63
K058685-R	86228	12642	14.66	11275	8662	10.05	3670	4.26
K058686-R	81017	12689	15.66	11993	9757	12.04	3160	3.9
K058687-R	79755	10347	12.97	9497	7778	9.75	3411	4.28
K058688-R	80464	11053	13.74	10059	7922	9.85	3515	4.37
K058689-R	91218	13077	14.34	10906	5394	5.91	3981	4.36
K058690-R	62504	6106	9.77	5677	4890	7.82	2222	3.55
K058691-R	100418	16522	16.45	15751	13480	13.42	4191	4.17
K058692-R	90876	14729	16.21	13712	11207	12.33	4386	4.83
K058693-R	70554	12192	17.28	11258	8396	11.9	3710	5.26
K058694-R	41434	3348	8.08	2238	844	2.04	844	2.04
K058695-R	94691	8255	8.72	7526	6541	6.91	2824	2.98
K058696-R	66043	6072	9.19	5688	5095	7.71	2040	3.09
K058697-R	82999	10589	12.76	9796	8307	10.01	2841	3.42
K058698-R	85727	12247	14.29	11591	10235	11.94	2817	3.29
K058699-R	101736	17981	17.67	17183	14370	14.12	4687	4.61
K058700-R	98287	5137	5.23	4581	3761	3.83	1864	1.9
K058701-R	85739	8264	9.64	7523	6070	7.08	2694	3.14
K058702-R	82432	10014	12.15	9342	7253	8.8	2692	3.27
K058703-R	91589	11275	12.31	10139	7940	8.67	2750	3
K058704-R	99161	16511	16.65	14963	12498	12.6	3927	3.96
K058705-R	109813	19537	17.79	18369	14617	13.31	4504	4.1
K058706-R	94453	15243	16.14	13004	8800	9.32	6293	6.66
K058707-R	68878	8911	12.94	8336	7237	10.51	2739	3.98
K058708-R	74977	12722	16.97	11940	10012	13.35	3715	4.95
K058709-R	98944	18199	18.39	17551	15194	15.36	5589	5.65
K058710-R	78472	13338	17	12617	10813	13.78	3046	3.88
K058711-R	91689	16808	18.33	15248	12484	13.62	4442	4.84
K058712-R	66145	9702	14.67	8730	7008	10.59	3038	4.59
K058713-R	111580	20215	18.12	18677	15586	13.97	4770	4.27
K058714-R	74490	12198	16.38	10988	8973	12.05	3917	5.26
K058715-R	82561	10916	13.22	9893	8180	9.91	3542	4.29
K058716-R	98305	15790	16.06	14017	10325	10.5	7951	8.09
K058717-R	103319	18100	17.52	15824	10562	10.22	7683	7.44
K058718-R	60660	9779	16.12	8937	6590	10.86	5384	8.88
K058720-R	61678	7867	12.75	6550	3756	6.09	3390	5.5
K058721-R	113512	19091	16.82	16554	11082	9.76	8493	7.48
K058722-R	82655	8980	10.86	7648	4329	5.24	3650	4.42
K058723-R	103815	16681	16.07	14435	9627	9.27	6122	5.9
K058725-R	114465	18623	16.27	15691	9616	8.4	6618	5.78
K058726-R	114060	17554	15.39	14718	8368	7.34	6311	5.53
K058727-R	65853	7917	12.02	5998	2725	4.14	2083	3.16
K058728-R	126144	18867	14.96	15833	8995	7.13	6292	4.99
K058729-R	92602	16250	17.55	13493	7641	8.25	5515	5.96
K058730-R	89315	13087	14.65	10586	5169	5.79	4214	4.72
K058731-R	90105	12402	13.76	10190	5108	5.67	4252	4.72
K058732-R	131279	22543	17.17	19214	11672	8.89	7720	5.88
K058778-R	61732	7954	12.88	6310	3321	5.38	3001	4.86
K058779-R	87459	15978	18.27	13321	6999	8	4873	5.57
K058780-R	119956	18885	15.74	16802	10800	9	6769	5.64
K058781-R	131372	24581	18.71	21383	13282	10.11	9493	7.23
K058782-R	110842	18485	16.68	15805	8236	7.43	6442	5.81
K058783-R	82939	11131	13.42	9407	5425	6.54	4077	4.92
K058784-R	112881	21035	18.63	18537	11652	10.32	8476	7.51
K058785-R	74528	9742	13.07	9110	7146	9.59	3047	4.09
K058786-R	80482	10443	12.98	8305	4111	5.11	3391	4.21
K058787-R	60295	8371	13.88	6281	3055	5.07	2855	4.74
K058788-R	101621	19115	18.81	16513	9358	9.21	6529	6.42
K058789-R	59482	8894	14.95	7047	4317	7.26	3653	6.14
K058790-R	54378	6830	12.56	5385	2283	4.2	2042	3.76
K058791-R	106502	17371	16.31	15374	11261	10.57	6804	6.39
K058792-R	113087	16130	14.26	14037	9070	8.02	7985	7.06
K058793-R	124226	16225	13.06	13787	8123	6.54	6240	5.02
K058794-R	145583	24843	17.06	22146	15511	10.65	8376	5.75
K058795-R	118826	19947	16.79	17438	11653	9.81	7292	6.14
K058796-R	63912	6001	9.39	4467	2614	4.09	1857	2.91
K058797-R	114825	13375	11.65	11798	8555	7.45	4660	4.06
K058798-R	71517	8818	12.33	7182	4934	6.9	3504	4.9
K058799-R	114992	18433	16.03	15919	10950	9.52	6852	5.96
K058800-R	84777	14190	16.74	12250	7386	8.71	5877	6.93
K058802-R	99558	13853	13.91	11874	7805	7.84	6252	6.28
K058803-R	145068	25517	17.59	23275	17490	12.06	11420	7.87
K058804-R	85550	10388	12.14	8893	5613	6.56	4418	5.16
K058805-R	124080	21071	16.98	19345	14921	12.03	9483	7.64
K058806-R	57778	6755	11.69	5461	3218	5.57	2708	4.69
K058807-R	90121	13560	15.05	11650	7495	8.32	5600	6.21
K058808-R	78563	10638	13.54	9021	6165	7.85	4713	6
K058809-R	168627	28424	16.86	25707	18833	11.17	9992	5.93
K058810-R	54407	3406	6.26	2403	983	1.81	854	1.57
K058811-R	86479	10880	12.58	8990	5524	6.39	3939	4.55
K058812-R	115908	16860	14.55	14501	9656	8.33	7492	6.46
K058813-R	79468	13054	16.43	10981	7612	9.58	5358	6.74
K058814-R	89387	16172	18.09	15256	12868	14.4	4622	5.17
K058815-R	112991	17993	15.92	14957	9408	8.33	6940	6.14
K058816-R	109978	14955	13.6	12431	7459	6.78	5882	5.35
K058817-R	132097	20426	15.46	17446	10371	7.85	7413	5.61
K058818-R	88322	12758	14.44	10597	6546	7.41	4716	5.34
K058819-R	99240	15675	15.8	12968	7817	7.88	6442	6.49
K058820-R	111378	16783	15.07	14165	8328	7.48	6279	5.64
K058821-R	79052	12343	15.61	10764	7000	8.85	5903	7.47
K058822-R	93217	15428	16.55	12456	6960	7.47	6604	7.08
K058823-R	62366	6524	10.46	5139	2828	4.53	2305	3.7
K058824-R	46307	3951	8.53	2989	1808	3.9	1432	3.09
