"Rank","Description","diet_type","Mean_Z","SD_Z","Enriched_in","Depleted_in","Enrichment_score"
1,"L-tryptophan biosynthesis","Carnivores",-1.17061855786581,0.71523145417782,"Ruminants","Carnivores",1.98011690130212
2,"L-tryptophan biosynthesis","Non-Ruminants",0.521343515721013,0.290892150194009,"Ruminants","Carnivores",1.98011690130212
3,"L-tryptophan biosynthesis","Ruminants",0.809498343436314,0.406735541270641,"Ruminants","Carnivores",1.98011690130212
4,"superpathway of L-tyrosine biosynthesis","Carnivores",1.1084022302079,0.585109311256924,"Carnivores","Ruminants",1.95498867537179
5,"superpathway of L-tyrosine biosynthesis","Non-Ruminants",-0.448166318594679,0.511920462643713,"Carnivores","Ruminants",1.95498867537179
6,"superpathway of L-tyrosine biosynthesis","Ruminants",-0.84658644516389,0.621590557463979,"Carnivores","Ruminants",1.95498867537179
7,"superpathway of L-phenylalanine biosynthesis","Carnivores",1.11815188714215,0.611901626663431,"Carnivores","Ruminants",1.95454631376114
8,"superpathway of L-phenylalanine biosynthesis","Non-Ruminants",-0.462119609254263,0.486236727351532,"Carnivores","Ruminants",1.95454631376114
9,"superpathway of L-phenylalanine biosynthesis","Ruminants",-0.836394426618991,0.587604942473619,"Carnivores","Ruminants",1.95454631376114
10,"superpathway of polyamine biosynthesis I","Carnivores",0.889968370895888,0.813044996107257,"Carnivores","Ruminants",1.90601425223277
11,"superpathway of polyamine biosynthesis I","Non-Ruminants",-0.168974486208057,0.60326890272445,"Carnivores","Ruminants",1.90601425223277
12,"superpathway of polyamine biosynthesis I","Ruminants",-1.01604588133688,0.623618760425249,"Carnivores","Ruminants",1.90601425223277
13,"sucrose degradation III (sucrose invertase)","Carnivores",0.999690657283762,0.781376912439571,"Carnivores","Ruminants",1.87807321052708
14,"sucrose degradation III (sucrose invertase)","Non-Ruminants",-0.339037209667215,0.558802328407553,"Carnivores","Ruminants",1.87807321052708
15,"sucrose degradation III (sucrose invertase)","Ruminants",-0.878382553243317,0.591846001214737,"Carnivores","Ruminants",1.87807321052708
16,"L-histidine biosynthesis","Carnivores",-1.05350893617592,0.913421120266414,"Ruminants","Carnivores",1.86663686830542
17,"L-histidine biosynthesis","Non-Ruminants",0.42116460666849,0.345431591836535,"Ruminants","Carnivores",1.86663686830542
18,"L-histidine biosynthesis","Ruminants",0.813127932129499,0.437044102751302,"Ruminants","Carnivores",1.86663686830542
19,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Carnivores",1.14122221746988,0.862989459598778,"Carnivores","Ruminants",1.825500539813
20,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Non-Ruminants",-0.567784972225958,0.211334931313989,"Carnivores","Ruminants",1.825500539813
21,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Ruminants",-0.684278322343128,0.309400217376497,"Carnivores","Ruminants",1.825500539813
22,"L-lysine biosynthesis II","Carnivores",1.15485977757088,0.802058758439188,"Carnivores","Non-Ruminants",1.82294995597139
23,"L-lysine biosynthesis II","Non-Ruminants",-0.668090178400511,0.287769692315143,"Carnivores","Non-Ruminants",1.82294995597139
