"Rank","Pathway_ID","Description","Black_Rhino_Mean","Black_Rhino_SD","White_Rhino_Mean","White_Rhino_SD","Fold_Change_Black_vs_White","Log2_Fold_Change","T_statistic","P_value","Enriched_in"
1,"PWY-5676","acetyl-CoA fermentation to butanoate II",0.001453,0.00048,0.000299,0.000363,4.867,2.283,5.853,7.99e-05,"Black rhinoceros"
2,"ANAEROFRUCAT-PWY","homolactic fermentation",0.004931,0.000286,0.00582,0.00054,0.847,-0.239,4.926,9.71e-05,"White rhinoceros"
3,"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)",0.006067,0.000318,0.006961,0.000548,0.872,-0.198,4.73,0.000146,"White rhinoceros"
4,"PWY-5484","glycolysis II (from fructose 6-phosphate)",0.004605,0.00037,0.005752,0.000757,0.801,-0.321,4.641,0.000193,"White rhinoceros"
5,"P125-PWY","superpathway of (R,R)-butanediol biosynthesis",0.000114,4.4e-05,0.000398,0.000214,0.288,-1.798,4.617,0.000429,"White rhinoceros"
6,"PWY-5188","tetrapyrrole biosynthesis I (from glutamate)",0.004589,0.000341,0.003923,0.000419,1.17,0.226,3.985,0.000927,"Black rhinoceros"
7,"PWY-5189","tetrapyrrole biosynthesis II (from glycine)",0.004302,0.000344,0.00364,0.000416,1.182,0.241,3.945,0.00103,"Black rhinoceros"
8,"PWY-5973","cis-vaccenate biosynthesis",0.009467,0.000121,0.009874,0.000365,0.959,-0.061,3.712,0.00193,"White rhinoceros"
9,"PWY0-42","2-methylcitrate cycle I",3.9e-05,2.9e-05,2e-06,5e-06,21.004,4.393,3.594,0.00824,"Black rhinoceros"
10,"BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched amino acid biosynthesis",0.009061,0.000237,0.008683,0.000244,1.044,0.062,3.513,0.00304,"Black rhinoceros"
11,"PWY-5103","L-isoleucine biosynthesis III",0.008631,0.000303,0.008159,0.000306,1.058,0.081,3.458,0.00349,"Black rhinoceros"
12,"P441-PWY","superpathway of N-acetylneuraminate degradation",0.002182,0.000399,0.002846,0.00051,0.767,-0.383,3.321,0.00387,"White rhinoceros"
13,"DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis I",0.007526,0.00025,0.008025,0.000444,0.938,-0.093,3.292,0.00385,"White rhinoceros"
14,"PWY-181","photorespiration",0.000222,0.000167,2.6e-05,5.1e-05,8.637,3.11,3.249,0.0121,"Black rhinoceros"
15,"PWY-7254","TCA cycle VII (acetate-producers)",0.000876,0.000338,0.001524,0.000582,0.575,-0.799,3.226,0.00445,"White rhinoceros"
