"Group1","Group2","H","p_value","q_value","Symbol"
"Lion (n=10)","White rhinoceros (n=13)",3.659,5.24445268017754e-05,0.00188800296486392,"**"
"Lion (n=10)","African elephant (n=9)",3.429,0.000151551235142566,0.00219388454682572,"**"
"Lion (n=10)","Black rhinoceros (n=8)",3.376,0.000182823712235477,0.00219388454682572,"**"
"Lion (n=10)","Warthog (n=7)",3.025,0.00123406005758947,0.0111065405183052,"*"
"Spotted Hyaena (n=10)","White rhinoceros (n=13)",2.977,0.00196317345327979,0.0141348488636145,"*"
"African wild dog (n=11)","African elephant (n=9)",2.849,0.00314360562038581,0.0141462252917361,"*"
"African wild dog (n=11)","White rhinoceros (n=13)",2.868,0.00312321725028684,0.0141462252917361,"*"
"Spotted Hyaena (n=10)","African elephant (n=9)",2.858,0.00298772434995345,0.0141462252917361,"*"
"African wild dog (n=11)","Warthog (n=7)",2.762,0.00414781297134238,0.0157959687371452,"*"
"Spotted Hyaena (n=10)","Black rhinoceros (n=8)",2.754,0.00438776909365145,0.0157959687371452,"*"
"African wild dog (n=11)","Black rhinoceros (n=8)",2.725,0.00497472943293377,0.0162809326896014,"*"
"Spotted Hyaena (n=10)","Warthog (n=7)",2.635,0.00678733031674208,0.0203619909502262,"*"
"Lion (n=10)","Impala (n=8)",2.488,0.0116550116550117,0.0322754168908015,"*"
"African wild dog (n=11)","Impala (n=8)",2.147,0.0327591225424043,0.0842377436804681,"NS"
"African buffalo (n=13)","Black rhinoceros (n=8)",1.955,0.0534866578210232,0.128367978770456,"NS"
"African buffalo (n=13)","White rhinoceros (n=13)",1.872,0.0641664903947849,0.144374603388266,"NS"
"African buffalo (n=13)","African elephant (n=9)",1.836,0.0707973141409674,0.149923724063225,"NS"
"Spotted Hyaena (n=10)","Impala (n=8)",1.777,0.0831390831390831,0.166278166278166,"NS"
"Impala (n=8)","African elephant (n=9)",1.732,0.0927190456602221,0.175678191777263,"NS"
"Lion (n=10)","African buffalo (n=13)",1.302,0.208043941520856,0.361034940291906,"NS"
"Warthog (n=7)","African buffalo (n=13)",1.308,0.210603715170279,0.361034940291906,"NS"
"Impala (n=8)","Black rhinoceros (n=8)",1.26,0.234498834498834,0.383725365543547,"NS"
"African wild dog (n=11)","Lion (n=10)",1.127,0.28162034044387,0.422430510665805,"NS"
"Warthog (n=7)","Impala (n=8)",1.157,0.280963480963481,0.422430510665805,"NS"
"African wild dog (n=11)","African buffalo (n=13)",1.014,0.331135543462236,0.457878012865225,"NS"
"Spotted Hyaena (n=10)","African buffalo (n=13)",0.992,0.343408509648919,0.457878012865225,"NS"
"Impala (n=8)","White rhinoceros (n=13)",1.014,0.336272052680721,0.457878012865225,"NS"
"Lion (n=10)","Spotted Hyaena (n=10)",0.907,0.393048128342246,0.505347593582888,"NS"
"Impala (n=8)","African buffalo (n=13)",0.652,0.546631284092584,0.655957540911101,"NS"
"Black rhinoceros (n=8)","White rhinoceros (n=13)",0.652,0.546631284092584,0.655957540911101,"NS"
"African elephant (n=9)","White rhinoceros (n=13)",0.501,0.646970367094206,0.751320426302949,"NS"
"Warthog (n=7)","Black rhinoceros (n=8)",0.463,0.694327894327894,0.781118881118881,"NS"
"African elephant (n=9)","Black rhinoceros (n=8)",0.289,0.814808720691074,0.888882240753899,"NS"
"African wild dog (n=11)","Spotted Hyaena (n=10)",0.141,0.91769015298427,0.918181818181818,"NS"
"Warthog (n=7)","African elephant (n=9)",0.159,0.918181818181818,0.918181818181818,"NS"
"Warthog (n=7)","White rhinoceros (n=13)",0.198,0.877296181630547,0.918181818181818,"NS"
