"Group1","Group2","H","p_value","q_value","Symbol"
"Lion (n=10)","White rhinoceros (n=13)",3.969,3.49630178678503e-06,0.000125866864324261,"***"
"Lion (n=10)","African elephant (n=9)",3.674,2.16501764489381e-05,0.000389703176080885,"***"
"Lion (n=10)","Black rhinoceros (n=8)",3.554,4.57059280588692e-05,0.000548471136706431,"***"
"Lion (n=10)","Warthog (n=7)",3.416,0.000102838338132456,0.000740436034553682,"***"
"Lion (n=10)","Impala (n=8)",3.465,9.14118561177385e-05,0.000740436034553682,"***"
"African wild dog (n=11)","African elephant (n=9)",3.457,0.000142891164562991,0.000857346987377947,"***"
"Spotted Hyaena (n=10)","African elephant (n=9)",3.348,0.000259802117387257,0.00133612517513446,"**"
"African wild dog (n=11)","Black rhinoceros (n=8)",3.303,0.000317535921251092,0.00135656509327259,"**"
"Lion (n=10)","African buffalo (n=13)",3.349,0.000339141273318148,0.00135656509327259,"**"
"Spotted Hyaena (n=10)","Black rhinoceros (n=8)",3.199,0.000548471136706431,0.00197449609214315,"**"
"African wild dog (n=11)","White rhinoceros (n=13)",3.215,0.000706689998653924,0.0023128036319583,"**"
"African wild dog (n=11)","Warthog (n=7)",3.034,0.00119406737053796,0.00358220211161388,"**"
"Spotted Hyaena (n=10)","White rhinoceros (n=13)",3.039,0.00150865422099774,0.00417781168891682,"**"
"Spotted Hyaena (n=10)","Warthog (n=7)",2.928,0.00195392842451666,0.00502438737732855,"**"
"Impala (n=8)","African elephant (n=9)",2.887,0.00246812011517894,0.00592348827642945,"**"
"African buffalo (n=13)","African elephant (n=9)",2.771,0.0043343653250774,0.00975232198142415,"**"
"Impala (n=8)","White rhinoceros (n=13)",2.535,0.00993660622143594,0.0210422249395114,"*"
"African wild dog (n=11)","Impala (n=8)",2.477,0.0120663650075415,0.0228625863300786,"*"
"Spotted Hyaena (n=10)","Impala (n=8)",2.488,0.0116550116550117,0.0228625863300786,"*"
"African wild dog (n=11)","African buffalo (n=13)",2.462,0.012879064669346,0.0231823164048228,"*"
"Spotted Hyaena (n=10)","African buffalo (n=13)",2.419,0.014710689767898,0.0252183253163966,"*"
"African buffalo (n=13)","Black rhinoceros (n=8)",2.39,0.015922158337019,0.026054440915122,"*"
"Impala (n=8)","Black rhinoceros (n=8)",2.31,0.0206682206682207,0.032350258437215,"*"
"African buffalo (n=13)","White rhinoceros (n=13)",2.282,0.0221498759686941,0.0332248139530412,"*"
"Warthog (n=7)","African buffalo (n=13)",1.783,0.0811145510835913,0.116804953560372,"NS"
"Warthog (n=7)","Impala (n=8)",1.736,0.0938616938616939,0.129962345346961,"NS"
"African wild dog (n=11)","Lion (n=10)",1.408,0.173351931865864,0.231135909154485,"NS"
"African elephant (n=9)","White rhinoceros (n=13)",1.302,0.209304008684814,0.269105154023332,"NS"
"Lion (n=10)","Spotted Hyaena (n=10)",1.209,0.247450691723138,0.307180169035619,"NS"
"Black rhinoceros (n=8)","White rhinoceros (n=13)",1.086,0.301125362425672,0.361350434910806,"NS"
"Warthog (n=7)","Black rhinoceros (n=8)",1.042,0.335664335664336,0.389803744642454,"NS"
"Warthog (n=7)","African elephant (n=9)",1.006,0.351048951048951,0.39493006993007,"NS"
"Warthog (n=7)","White rhinoceros (n=13)",0.357,0.757301341589267,0.801848479329813,"NS"
"African elephant (n=9)","Black rhinoceros (n=8)",0.385,0.742986425339367,0.801848479329813,"NS"
"Impala (n=8)","African buffalo (n=13)",0.29,0.804442478745884,0.827426549567195,"NS"
"African wild dog (n=11)","Spotted Hyaena (n=10)",0.211,0.863266764195557,0.863266764195557,"NS"
