"Diet_type","Family","Average_Relative_Abundance"
"Carnivore","Lachnospiraceae",19.326077
"Carnivore","Fusobacteriaceae",11.978268
"Carnivore","Clostridiaceae",8.505671
"Carnivore","Peptostreptococcaceae",8.458374
"Carnivore","Bacteroidaceae",7.315935
"Carnivore","Prevotellaceae",6.62622
"Carnivore","Erysipelotrichaceae",5.247979
"Carnivore","Clostridia_UCG-014",4.161261
"Carnivore","Enterobacteriaceae",3.029654
"Carnivore","Family_XI",2.788389
"Carnivore","Acidaminococcaceae",1.838578
"Carnivore","Anaerovoracaceae",1.814769
"Carnivore","Oscillospiraceae",1.329382
"Carnivore","Rikenellaceae",1.306871
"Carnivore","Streptococcaceae",1.124652
"Carnivore","Succinivibrionaceae",1.086417
"Non-Ruminant","Lachnospiraceae",19.438436
"Non-Ruminant","Prevotellaceae",14.70969
"Non-Ruminant","Rikenellaceae",10.620989
"Non-Ruminant","Oscillospiraceae",7.109006
"Non-Ruminant","Spirochaetaceae",5.721631
"Non-Ruminant","p-251-o5",3.930594
"Non-Ruminant","Acidaminococcaceae",3.701971
"Non-Ruminant","F082",2.540085
"Non-Ruminant","[Eubacterium]_coprostanoligenes_group",2.495133
"Non-Ruminant","Ruminococcaceae",2.46765
"Non-Ruminant","Christensenellaceae",2.380974
"Non-Ruminant","UCG-010",2.101982
"Non-Ruminant","Anaerovoracaceae",2.02234
"Non-Ruminant","Bacteroidales_UCG-001",1.530594
"Non-Ruminant","Pirellulaceae",1.440865
"Non-Ruminant","Fibrobacteraceae",1.424474
"Non-Ruminant","Synergistaceae",1.341396
"Non-Ruminant","Hungateiclostridiaceae",1.296953
"Non-Ruminant","Clostridia_UCG-014",1.252701
"Non-Ruminant","WCHB1-41",1.203038
"Ruminant","Oscillospiraceae",15.004818
"Ruminant","Rikenellaceae",11.315126
"Ruminant","Lachnospiraceae",10.684822
"Ruminant","UCG-010",8.161941
"Ruminant","Bacteroidaceae",8.064135
"Ruminant","Prevotellaceae",7.19868
"Ruminant","[Eubacterium]_coprostanoligenes_group",5.492642
"Ruminant","uncultured",4.607658
"Ruminant","Ruminococcaceae",3.893586
"Ruminant","Akkermansiaceae",2.177312
"Ruminant","Acidaminococcaceae",2.144432
"Ruminant","Spirochaetaceae",1.459188
"Ruminant","Christensenellaceae",1.308033
"Ruminant","Bacteroidales_RF16_group",1.222482
"Ruminant","Muribaculaceae",1.143835
"Ruminant","Anaerovoracaceae",1.064213
"Ruminant","Saccharimonadaceae",1.042467
"Ruminant","Clostridia_UCG-014",1.038283
