"Diet_type","Family","Mean","SD","N","CI_lower","CI_upper"
"Carnivore","Lachnospiraceae",19.3260768737779,7.09127065873378,31,16.8297624492835,21.8223912982722
"Carnivore","Fusobacteriaceae",11.9782675363651,9.12343398162422,31,8.76657798941485,15.1899570833154
"Carnivore","Clostridiaceae",8.50567102193268,9.72109136542452,31,5.08359030252747,11.9277517413379
"Carnivore","Peptostreptococcaceae",8.4583738174487,5.8371119503493,31,6.4035563580278,10.5131912768696
"Carnivore","Bacteroidaceae",7.31593451211521,5.23166049395637,31,5.47425194440279,9.15761707982762
"Carnivore","Prevotellaceae",6.62622020816509,5.67177551947627,31,4.62960553596603,8.62283488036415
"Carnivore","Erysipelotrichaceae",5.24797930634134,4.49929124003873,31,3.66411004467712,6.83184856800555
"Carnivore","Clostridia_UCG-014",4.16126060437235,9.1702092230911,31,0.933104937934844,7.38941627080986
"Carnivore","Enterobacteriaceae",3.02965413903494,7.90734113672389,31,0.246061368578472,5.81324690949141
"Carnivore","Family_XI",2.78838934463822,5.01172683218098,31,1.02412923035389,4.55264945892255
"Carnivore","Acidaminococcaceae",1.83857848980313,1.90168264932283,31,1.16913600808535,2.50802097152092
"Carnivore","Anaerovoracaceae",1.81476862319759,2.30837007239992,31,1.00216143527339,2.62737581112178
"Carnivore","Oscillospiraceae",1.3293822653083,2.03569305249034,31,0.612764584876683,2.04599994573991
"Carnivore","Rikenellaceae",1.30687107354299,2.48406581050923,31,0.432414348847233,2.18132779823874
"Carnivore","Streptococcaceae",1.12465214369368,2.1451541637646,31,0.369501263198889,1.87980302418848
"Carnivore","Succinivibrionaceae",1.08641731575288,2.33558519622543,31,0.264229685981307,1.90860494552445
"Non-Ruminant","Lachnospiraceae",19.4384357174639,6.84836820760484,37,17.231740713336,21.6451307215918
"Non-Ruminant","Prevotellaceae",14.7096904395874,6.04866261487446,37,12.7606781830506,16.6587026961242
"Non-Ruminant","Rikenellaceae",10.6209891381312,6.16062547883576,37,8.63589998195034,12.606078294312
"Non-Ruminant","Oscillospiraceae",7.10900635457564,5.05129046188941,37,5.48136936299677,8.7366433461545
"Non-Ruminant","Spirochaetaceae",5.72163050987528,4.47772739465528,37,4.27880816561815,7.16445285413242
"Non-Ruminant","p-251-o5",3.93059443991321,4.13553792068997,37,2.59803307750951,5.2631558023169
"Non-Ruminant","Acidaminococcaceae",3.70197121800671,2.39878392105613,37,2.92903022913014,4.47491220688327
"Non-Ruminant","F082",2.54008506942432,2.21636951462394,37,1.82592201817498,3.25424812067366
"Non-Ruminant","[Eubacterium]_coprostanoligenes_group",2.49513273722764,1.59538847122474,37,1.98106344913278,3.0092020253225
"Non-Ruminant","Ruminococcaceae",2.46765049015384,1.52526766080257,37,1.97617567089496,2.95912530941273
"Non-Ruminant","Christensenellaceae",2.38097351447004,1.74870198336459,37,1.81750323754858,2.94444379139149
"Non-Ruminant","UCG-010",2.10198194941054,2.13320008724542,37,1.41461791864736,2.78934598017372
"Non-Ruminant","Anaerovoracaceae",2.0223402065827,1.29720934065772,37,1.60435079880543,2.44032961435998
"Non-Ruminant","Bacteroidales_UCG-001",1.53059388319439,2.0561213307285,37,0.868066324678922,2.19312144170986
"Non-Ruminant","Pirellulaceae",1.44086518689044,2.05449211590253,37,0.778862597259254,2.10286777652163
"Non-Ruminant","Fibrobacteraceae",1.42447360126097,2.56815426789932,37,0.596957757923274,2.25198944459867
"Non-Ruminant","Synergistaceae",1.34139578906789,1.66348437621058,37,0.805384501247178,1.87740707688861
"Non-Ruminant","Hungateiclostridiaceae",1.29695327867913,1.44852508946293,37,0.830206605402682,1.76369995195559
"Non-Ruminant","Clostridia_UCG-014",1.25270083661972,4.09513379084967,37,-0.0668414256477272,2.57224309888716
"Non-Ruminant","WCHB1-41",1.20303844991585,1.46375474725674,37,0.731384445615512,1.67469245421619
"Ruminant","Oscillospiraceae",15.0048175631835,5.94231809398939,21,12.4632461327237,17.5463889936433
"Ruminant","Rikenellaceae",11.3151261188398,4.37362347805742,21,9.44449645822591,13.1857557794536
"Ruminant","Lachnospiraceae",10.6848221728073,7.81790514241678,21,7.34104891097047,14.0285954346442
"Ruminant","UCG-010",8.16194102019847,6.80794371478441,21,5.25013539619862,11.0737466441983
"Ruminant","Bacteroidaceae",8.06413493324165,3.85989290535669,21,6.41323146800777,9.71503839847552
"Ruminant","Prevotellaceae",7.19868012207192,3.67501222274704,21,5.62685143094681,8.77050881319704
"Ruminant","[Eubacterium]_coprostanoligenes_group",5.49264211703545,2.49757790421337,21,4.42441040235881,6.5608738317121
