"Species","Family","Average_Relative_Abundance"
"African buffalo","Oscillospiraceae",14.166088
"African buffalo","Lachnospiraceae",11.212716
"African buffalo","Rikenellaceae",9.964844
"African buffalo","Prevotellaceae",8.496658
"African buffalo","UCG-010",8.455613
"African buffalo","Bacteroidaceae",6.808182
"African buffalo","uncultured",5.013973
"African buffalo","[Eubacterium]_coprostanoligenes_group",4.769174
"African buffalo","Ruminococcaceae",3.238605
"African buffalo","Acidaminococcaceae",2.568963
"African buffalo","Akkermansiaceae",1.727546
"African buffalo","Spirochaetaceae",1.680084
"African buffalo","Saccharimonadaceae",1.575272
"African buffalo","Christensenellaceae",1.368248
"African buffalo","Bacteroidales_RF16_group",1.285341
"African buffalo","Anaerovoracaceae",1.155915
"African buffalo","Fibrobacteraceae",1.097832
"African buffalo","p-2534-18B5_gut_group",1.012026
"African elephant","Prevotellaceae",18.278897
"African elephant","Lachnospiraceae",16.684339
"African elephant","Oscillospiraceae",10.87408
"African elephant","Rikenellaceae",10.522519
"African elephant","Spirochaetaceae",7.732901
"African elephant","Pirellulaceae",3.388328
"African elephant","Synergistaceae",2.841789
"African elephant","Acidaminococcaceae",2.667757
"African elephant","UCG-010",2.410754
"African elephant","[Eubacterium]_coprostanoligenes_group",2.333168
"African elephant","Anaerovoracaceae",2.183532
"African elephant","p-251-o5",1.999229
"African elephant","Paludibacteraceae",1.800503
"African elephant","WCHB1-41",1.615675
"African elephant","Mycoplasmataceae",1.181585
"African elephant","Ruminococcaceae",1.154244
"African elephant","Christensenellaceae",1.055997
"African wild dog","Lachnospiraceae",18.257476
"African wild dog","Fusobacteriaceae",11.506501
"African wild dog","Prevotellaceae",11.24089
"African wild dog","Bacteroidaceae",8.746241
"African wild dog","Clostridiaceae",8.526146
"African wild dog","Peptostreptococcaceae",6.600802
"African wild dog","Erysipelotrichaceae",4.001594
"African wild dog","Acidaminococcaceae",3.447288
"African wild dog","Succinivibrionaceae",2.644415
"African wild dog","Enterobacteriaceae",2.432656
"African wild dog","Rikenellaceae",2.370456
"African wild dog","Oscillospiraceae",2.23719
"African wild dog","UCG-010",1.999412
"African wild dog","Anaerovoracaceae",1.946332
"African wild dog","Erysipelatoclostridiaceae",1.093041
"African wild dog","Tannerellaceae",1.038298
"Black rhinoceros","Lachnospiraceae",17.71684
"Black rhinoceros","Prevotellaceae",16.314327
"Black rhinoceros","Rikenellaceae",16.161316
"Black rhinoceros","Oscillospiraceae",10.330962
"Black rhinoceros","Spirochaetaceae",3.927784
"Black rhinoceros","[Eubacterium]_coprostanoligenes_group",3.593651
"Black rhinoceros","UCG-010",3.474197
